BirthYear;Country;Name;Gender;NumberOfName;Order
2024;TÜRKİYE;MEHMET;Erkek;1285141;1
2024;TÜRKİYE;MUSTAFA;Erkek;1066554;2
2024;TÜRKİYE;AHMET;Erkek;863817;3
2024;TÜRKİYE;ALİ;Erkek;742542;4
2024;TÜRKİYE;HÜSEYİN;Erkek;577808;5
2024;TÜRKİYE;HASAN;Erkek;537184;6
2024;TÜRKİYE;MURAT;Erkek;529021;7
2024;TÜRKİYE;YUSUF;Erkek;524246;8
2024;TÜRKİYE;İBRAHİM;Erkek;508362;9
2024;TÜRKİYE;İSMAİL;Erkek;438668;10
2024;TÜRKİYE;ÖMER;Erkek;421876;11
2024;TÜRKİYE;RAMAZAN;Erkek;361829;12
2024;TÜRKİYE;OSMAN;Erkek;313551;13
2024;TÜRKİYE;ABDULLAH;Erkek;275498;14
2024;TÜRKİYE;FATİH;Erkek;257075;15
2024;TÜRKİYE;EMRE;Erkek;246322;16
2024;TÜRKİYE;HALİL;Erkek;229076;17
2024;TÜRKİYE;SÜLEYMAN;Erkek;221244;18
2024;TÜRKİYE;HAKAN;Erkek;220206;19
2024;TÜRKİYE;ADEM;Erkek;202365;20
2024;TÜRKİYE;MUHAMMED;Erkek;200391;21
2024;TÜRKİYE;KADİR;Erkek;194039;22
2024;TÜRKİYE;FURKAN;Erkek;190653;23
2024;TÜRKİYE;MAHMUT;Erkek;185372;24
2024;TÜRKİYE;BURAK;Erkek;184237;25
2024;TÜRKİYE;RECEP;Erkek;181921;26
2024;TÜRKİYE;SERKAN;Erkek;176025;27
2024;TÜRKİYE;YASİN;Erkek;166772;28
2024;TÜRKİYE;ENES;Erkek;166621;29
2024;TÜRKİYE;METİN;Erkek;165656;30
2023;TÜRKİYE;MEHMET;Erkek;1298836;1
2023;TÜRKİYE;MUSTAFA;Erkek;1075770;2
2023;TÜRKİYE;AHMET;Erkek;870925;3
2023;TÜRKİYE;ALİ;Erkek;748919;4
2023;TÜRKİYE;HÜSEYİN;Erkek;584202;5
2023;TÜRKİYE;HASAN;Erkek;542915;6
2023;TÜRKİYE;MURAT;Erkek;530614;7
2023;TÜRKİYE;YUSUF;Erkek;522791;8
