BirthYear;Country;Name;Gender;NumberOfName;Order
2024;TÜRKİYE;ALPARSLAN;Erkek;8088;1
2024;TÜRKİYE;GÖKTUĞ;Erkek;5683;2
2024;TÜRKİYE;YUSUF;Erkek;4880;3
2024;TÜRKİYE;METEHAN;Erkek;4762;4
2024;TÜRKİYE;ÖMER ASAF;Erkek;4244;5
2024;TÜRKİYE;KEREM;Erkek;4207;6
2024;TÜRKİYE;ASLAN;Erkek;3920;7
2024;TÜRKİYE;ÖMER;Erkek;3869;8
2024;TÜRKİYE;MİRAÇ;Erkek;3743;9
2024;TÜRKİYE;EYMEN;Erkek;3676;10
2024;TÜRKİYE;ARAS;Erkek;3562;11
2024;TÜRKİYE;MİRAN;Erkek;3356;12
2024;TÜRKİYE;ATLAS;Erkek;3345;13
2024;TÜRKİYE;POYRAZ;Erkek;3073;14
2024;TÜRKİYE;MUHAMMED;Erkek;2929;15
2024;TÜRKİYE;ALİ ASAF;Erkek;2913;16
2024;TÜRKİYE;MUSTAFA;Erkek;2907;17
2024;TÜRKİYE;ALPEREN;Erkek;2834;18
2024;TÜRKİYE;AYAZ;Erkek;2693;19
2024;TÜRKİYE;MUHAMMED ALİ;Erkek;2640;20
2024;TÜRKİYE;ALİ;Erkek;2625;21
2024;TÜRKİYE;AHMET;Erkek;2585;22
2024;TÜRKİYE;KUZEY;Erkek;2578;23
2024;TÜRKİYE;YİĞİT;Erkek;2463;24
2024;TÜRKİYE;AYBARS;Erkek;2457;25
2024;TÜRKİYE;HAMZA;Erkek;2446;26
2024;TÜRKİYE;MEHMET;Erkek;2406;27
2024;TÜRKİYE;ÇINAR;Erkek;2377;28
2024;TÜRKİYE;MERT;Erkek;2138;29
2024;TÜRKİYE;EMİR;Erkek;2076;30
2023;TÜRKİYE;ALPARSLAN;Erkek;8957;1
2023;TÜRKİYE;YUSUF;Erkek;5538;2
2023;TÜRKİYE;GÖKTUĞ;Erkek;5361;3
2023;TÜRKİYE;ÖMER ASAF;Erkek;4902;4
2023;TÜRKİYE;MİRAÇ;Erkek;4533;5
2023;TÜRKİYE;ÖMER;Erkek;4420;6
2023;TÜRKİYE;KEREM;Erkek;4346;7
2023;TÜRKİYE;EYMEN;Erkek;4165;8
2023;TÜRKİYE;METEHAN;Erkek;3689;9
2023;TÜRKİYE;ARAS;Erkek;3482;10
2023;TÜRKİYE;MUHAMMED;Erkek;3375;11
2023;TÜRKİYE;MUSTAFA;Erkek;3285;12
2023;TÜRKİYE;ALİ ASAF;Erkek;3187;13
2023;TÜRKİYE;ALİ;Erkek;3136;14
2023;TÜRKİYE;ATLAS;Erkek;3130;15
2023;TÜRKİYE;MUHAMMED ALİ;Erkek;3078;16
2023;TÜRKİYE;HAMZA;Erkek;2875;17
2023;TÜRKİYE;AHMET;Erkek;2855;18
2023;TÜRKİYE;POYRAZ;Erkek;2754;19
2023;TÜRKİYE;ÇINAR;Erkek;2648;20
2023;TÜRKİYE;ASLAN;Erkek;2637;21
2023;TÜRKİYE;MEHMET;Erkek;2565;22
2023;TÜRKİYE;MİRAN;Erkek;2548;23
2023;TÜRKİYE;YİĞİT;Erkek;2537;24
2023;TÜRKİYE;ALPEREN;Erkek;2534;25
2023;TÜRKİYE;AYAZ;Erkek;2440;26
2023;TÜRKİYE;UMUT;Erkek;2332;27
2023;TÜRKİYE;KUZEY;Erkek;2302;28
2023;TÜRKİYE;AYBARS;Erkek;2292;29
2023;TÜRKİYE;MERT;Erkek;2172;30
2022;TÜRKİYE;ALPARSLAN;Erkek;8332;1
2022;TÜRKİYE;YUSUF;Erkek;6370;2
2022;TÜRKİYE;MİRAÇ;Erkek;5043;3
2022;TÜRKİYE;GÖKTUĞ;Erkek;4956;4
2022;TÜRKİYE;ÖMER ASAF;Erkek;4795;5
2022;TÜRKİYE;EYMEN;Erkek;4601;6
2022;TÜRKİYE;ÖMER;Erkek;4452;7
2022;TÜRKİYE;ARAS;Erkek;4362;8
2022;TÜRKİYE;MUSTAFA;Erkek;3913;9
2022;TÜRKİYE;ALİ ASAF;Erkek;3688;10
2022;TÜRKİYE;KEREM;Erkek;3584;11
2022;TÜRKİYE;ALİ;Erkek;3516;12
2022;TÜRKİYE;ÇINAR;Erkek;3479;13
2022;TÜRKİYE;HAMZA;Erkek;3438;14
2022;TÜRKİYE;METEHAN;Erkek;3419;15
2022;TÜRKİYE;AHMET;Erkek;3409;16
2022;TÜRKİYE;POYRAZ;Erkek;3361;17
2022;TÜRKİYE;MUHAMMED;Erkek;3357;18
2022;TÜRKİYE;MEHMET;Erkek;3135;19
2022;TÜRKİYE;MUHAMMED ALİ;Erkek;3106;20
2022;TÜRKİYE;YİĞİT;Erkek;2862;21
2022;TÜRKİYE;ATLAS;Erkek;2843;22
2022;TÜRKİYE;AYAZ;Erkek;2793;23
2022;TÜRKİYE;MERT;Erkek;2545;24
2022;TÜRKİYE;EMİR;Erkek;2486;25
2022;TÜRKİYE;UMUT;Erkek;2474;26
2022;TÜRKİYE;MİRAN;Erkek;2416;27
2022;TÜRKİYE;ALPEREN;Erkek;2403;28
2022;TÜRKİYE;KUZEY;Erkek;2279;29
2022;TÜRKİYE;İBRAHİM;Erkek;2233;30
2021;TÜRKİYE;YUSUF;Erkek;7088;1
2021;TÜRKİYE;ALPARSLAN;Erkek;6218;2
2021;TÜRKİYE;MİRAÇ;Erkek;5698;3
2021;TÜRKİYE;ÖMER ASAF;Erkek;5483;4
2021;TÜRKİYE;EYMEN;Erkek;5147;5
2021;TÜRKİYE;GÖKTUĞ;Erkek;4899;6
2021;TÜRKİYE;ÖMER;Erkek;4780;7
2021;TÜRKİYE;MUSTAFA;Erkek;4321;8
2021;TÜRKİYE;ARAS;Erkek;4130;9
2021;TÜRKİYE;ALİ ASAF;Erkek;3955;10
2021;TÜRKİYE;AHMET;Erkek;3655;11
2021;TÜRKİYE;ALİ;Erkek;3620;12
2021;TÜRKİYE;KEREM;Erkek;3602;13
2021;TÜRKİYE;POYRAZ;Erkek;3599;14
2021;TÜRKİYE;HAMZA;Erkek;3587;15
2021;TÜRKİYE;MUHAMMED;Erkek;3440;16
2021;TÜRKİYE;ÇINAR;Erkek;3372;17
2021;TÜRKİYE;MEHMET;Erkek;3331;18
2021;TÜRKİYE;METEHAN;Erkek;3293;19
2021;TÜRKİYE;MUHAMMED ALİ;Erkek;3271;20
2021;TÜRKİYE;AYAZ;Erkek;3042;21
2021;TÜRKİYE;EMİR;Erkek;2944;22
2021;TÜRKİYE;YİĞİT;Erkek;2852;23
2021;TÜRKİYE;MERT;Erkek;2825;24
2021;TÜRKİYE;UMUT;Erkek;2700;25
2021;TÜRKİYE;YUNUS EMRE;Erkek;2638;26
2021;TÜRKİYE;İBRAHİM;Erkek;2476;27
2021;TÜRKİYE;ALPEREN;Erkek;2469;28
2021;TÜRKİYE;KUZEY;Erkek;2438;29
2021;TÜRKİYE;MİRAN;Erkek;2364;30
2020;TÜRKİYE;YUSUF;Erkek;7682;1
2020;TÜRKİYE;MİRAÇ;Erkek;6272;2
2020;TÜRKİYE;EYMEN;Erkek;6264;3
2020;TÜRKİYE;ÖMER ASAF;Erkek;5674;4
2020;TÜRKİYE;ÖMER;Erkek;5129;5
2020;TÜRKİYE;MUSTAFA;Erkek;4463;6
2020;TÜRKİYE;KEREM;Erkek;4412;7
2020;TÜRKİYE;ALPARSLAN;Erkek;4399;8
2020;TÜRKİYE;HAMZA;Erkek;4032;9
2020;TÜRKİYE;ALİ ASAF;Erkek;4025;10
2020;TÜRKİYE;ALİ;Erkek;3894;11
2020;TÜRKİYE;AHMET;Erkek;3839;12
2020;TÜRKİYE;MEHMET;Erkek;3609;13
2020;TÜRKİYE;MUHAMMED ALİ;Erkek;3507;14
2020;TÜRKİYE;MUHAMMED;Erkek;3460;15
2020;TÜRKİYE;AYAZ;Erkek;3457;16
2020;TÜRKİYE;ARAS;Erkek;3412;17
2020;TÜRKİYE;EMİR;Erkek;3354;18
2020;TÜRKİYE;ÇINAR;Erkek;3300;19
2020;TÜRKİYE;MİRAN;Erkek;3107;20
2020;TÜRKİYE;METEHAN;Erkek;3072;21
2020;TÜRKİYE;YUNUS EMRE;Erkek;3009;22
2020;TÜRKİYE;GÖKTUĞ;Erkek;2937;23
2020;TÜRKİYE;YİĞİT;Erkek;2921;24
2020;TÜRKİYE;KUZEY;Erkek;2913;25
2020;TÜRKİYE;ALPEREN;Erkek;2878;26
2020;TÜRKİYE;MERT;Erkek;2818;27
2020;TÜRKİYE;UMUT;Erkek;2712;28
2020;TÜRKİYE;BERAT;Erkek;2668;29
2020;TÜRKİYE;İBRAHİM;Erkek;2503;30
2019;TÜRKİYE;YUSUF;Erkek;8651;1
2019;TÜRKİYE;EYMEN;Erkek;7512;2
2019;TÜRKİYE;MİRAÇ;Erkek;6687;3
2019;TÜRKİYE;ÖMER ASAF;Erkek;6216;4
2019;TÜRKİYE;ÖMER;Erkek;5870;5
2019;TÜRKİYE;MUSTAFA;Erkek;5009;6
2019;TÜRKİYE;KEREM;Erkek;4479;7
2019;TÜRKİYE;MİRAN;Erkek;4247;8
2019;TÜRKİYE;HAMZA;Erkek;4117;9
2019;TÜRKİYE;AHMET;Erkek;4081;10
2019;TÜRKİYE;ALİ;Erkek;4022;11
2019;TÜRKİYE;MEHMET;Erkek;4022;12
2019;TÜRKİYE;EMİR;Erkek;4004;13
2019;TÜRKİYE;ALİ ASAF;Erkek;3943;14
2019;TÜRKİYE;YİĞİT;Erkek;3799;15
2019;TÜRKİYE;MUHAMMED ALİ;Erkek;3798;16
2019;TÜRKİYE;MUHAMMED;Erkek;3753;17
2019;TÜRKİYE;ALPARSLAN;Erkek;3683;18
